agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_fare_url
571,Mini Buses Hualpencillo,http://www.gorebiobio.cl/,America/Santiago,es,56 41 222 9409,
570,Buses Mini Verde,http://www.gorebiobio.cl/,America/Santiago,es,56 41 222 6185,
600,Via Universo,http://www.gorebiobio.cl/,America/Santiago,es,56 41 235 5006,
559,Expresos Plaza del Mall,http://www.gorebiobio.cl/,America/Santiago,es,56 41 235 2777,
574,Buses Campanil,http://www.gorebiobio.cl/,America/Santiago,es,56 41 258 3087,
608,Ruta Las Playas,http://www.gorebiobio.cl/,America/Santiago,es,56 41 238 4985,
575,Geminis Del Sur,http://www.gorebiobio.cl/,America/Santiago,es,56 41 258 3820,
607,San Remo,http://www.gorebiobio.cl/,America/Santiago,es,56 41 237 5029,
572,Flota Las Lilas,http://www.gorebiobio.cl/,America/Santiago,es,56 41 282 3201,
555,Via Siglo Xxi,http://www.gorebiobio.cl/,America/Santiago,es,56 41 236 3707,
573,Flota Centauro,http://www.gorebiobio.cl/,America/Santiago,es,56 41 282 3201,
578,Buses Tucapel,http://www.gorebiobio.cl/,America/Santiago,es,56 41 248 0816,
579,Mi Expreso - Buses Primavera,http://www.subtrans.cl/secretarias/secretaria-regional-ministerial-del-bio-bio/,America/Santiago,es,56 41 223 0699,
629,Nueva Sol Yet,http://www.gorebiobio.cl/,America/Santiago,es,56 41 278 6684,
576,Buses Base Naval,http://www.gorebiobio.cl/,America/Santiago,es,56 41 257 7129,
628,Via Del Sol,http://www.gorebiobio.cl/,America/Santiago,es,56 41 278 0336,
595,Via Lactea,http://www.alianzabus.cl/,America/Santiago,es,56 41 236 2336,
597,Nueva Sotrapel,http://www.gorebiobio.cl/,America/Santiago,es,56 41 236 2398,
560,Nueva Llacolen,http://www.gorebiobio.cl/,America/Santiago,es,56 41 227 6082,
596,Via Futuro,http://www.alianzabus.cl/,America/Santiago,es,56 41 235 8109,
599,Penco Chiguayante Sur,http://www.gorebiobio.cl/,America/Santiago,es,56 41 235 6719,
580,Rengo Lientur,http://www.alianzabus.cl/,America/Santiago,es,56 41 222 4327,
582,Las Bahias,http://www.gorebiobio.cl/,America/Santiago,es,56 41 249 0036,
581,Buses Condor,http://www.gorebiobio.cl/,America/Santiago,es,56 41 248 9891,
569,Las Golondrinas,http://www.gorebiobio.cl/,America/Santiago,es,56 41 241 0931,
548,Buses Hualpensan,http://www.gorebiobio.cl/,America/Santiago,es,56 41 241 1637,
583,Buses Puchacay,http://www.gorebiobio.cl/,America/Santiago,es,56 41 222 8097,
584,Pedro De Valdivia,http://www.alianzabus.cl/,America/Santiago,es,56 41 234 1068,
566,Ruta Del Mar,http://www.gorebiobio.cl/,America/Santiago,es,56 41 238 4673,
585,Las Galaxias,http://www.gorebiobio.cl/,America/Santiago,es,56 41 278 0405,
567,Inmobiliaria Del Mar,http://www.gorebiobio.cl/,America/Santiago,es,56 41 238 4673,
561,Riviera Bio Bio,http://www.gorebiobio.cl/,America/Santiago,es,56 41 228 3712,
20555,BioBus,http://www.gorebiobio.cl/,America/Santiago,es,56 41 222 7226,
562,San Pedro,http://www.gorebiobio.cl/,America/Santiago,es,56 41 222 7227,
589,Biotren,http://www.biotren.cl,America/Santiago,es,56 41 286 8015,
563,San Pedro Sur,http://www.gorebiobio.cl/,America/Santiago,es,56 41 222 6500,
4254,Buses Palomares (Expresos Concepción Chiguayante),http://www.gorebiobio.cl,America/Santiago,es,,
7468,Los Alces,http://moovitapp.com,America/Santiago,es,,
7494,Translota,http://gore.cl,America/Santiago,es,,
7496,Playa Blanca,http://moovitapp.com,America/Santiago,es,,
7497,Expresos del carbón,http://moovitapp.com,America/Santiago,es,,
7498,Nueva Ruta 160,http://moovitapp.com,America/Santiago,es,,
18648,Ruta 160,http://moovitapp.com,America/Santiago,es,,
18649,Sotral,http://moovitapp.com,America/Santiago,es,,
27223,Nueva Takora,http://www.fesur.cl/es/blog/comenzo-integracion-de-buses-nueva-takora-con-biotren/,America/Santiago,es,,
39291,Ruta del Conquistador,https://moovitapp.com,America/Santiago,es,,
53258,Nueva Nahuelbus,https://moovitapp.com,America/Santiago,es,,
