service_id,date,exception_type
9798,20181225,2
9904,20181225,2
9800,20181225,1
9901,20181225,1
9798,20190101,2
9904,20190101,2
9800,20190101,1
9901,20190101,1
9798,20190419,2
9904,20190419,2
9800,20190419,1
9901,20190419,1
9799,20190420,2
9904,20190420,2
9800,20190420,1
9798,20190501,2
9904,20190501,2
9800,20190501,1
9901,20190501,1
9798,20190521,2
9904,20190521,2
9800,20190521,1
9901,20190521,1
9799,20190629,2
9904,20190629,2
9800,20190629,1
9798,20190716,2
9904,20190716,2
9800,20190716,1
9901,20190716,1
9798,20190815,2
9904,20190815,2
9800,20190815,1
9901,20190815,1
9798,20190918,2
9904,20190918,2
9800,20190918,1
9901,20190918,1
9798,20190919,2
9904,20190919,2
9800,20190919,1
9901,20190919,1
9799,20191012,2
9904,20191012,2
9800,20191012,1
9798,20191031,2
9904,20191031,2
9800,20191031,1
9901,20191031,1
9798,20191101,2
9904,20191101,2
9800,20191101,1
9901,20191101,1
